cert_number,subject,grade,grade_description,card_number,year,brand,variety,label_type,category,reverse_cert,is_authentic
63759922,TOM BRADY,10.0,GEM MT 10,36,2014,PANINI PRIZM,PANINI LOGO PRIZM,LighthouseLabel,FOOTBALL CARDS,,False
58219979,LUKA DONCIC,9.0,MINT 9,6,2018,PANINI SPECTRA,NEON PINK,LighthouseLabel,BASKETBALL CARDS,,False
86431191,G.ANTETOKOUNMPO,9.0,MINT 9,MAGAN,2019,PANINI OBSIDIAN MATRIX AUTOGRAPHS,MATRIX AUTO-E/E YELLOW,LighthouseLabel,BASKETBALL CARDS,,False
135695120,KEN GRIFFEY JR.,9.0,MINT 9,AK15,2025,TOPPS ALL KINGS,,LighthouseLabel,BASEBALL CARDS,,False
26438933,MIKE TROUT,10.0,GEM MT 10,BSPMT,2009,BOWMAN STERLING PROSPECTS,PROSPECTS-AUTOGRAPH,HologramLabel,BASEBALL CARDS,,False
24605312,RAY ALLEN,8.0,NM-MT 8,4,2014,PANINI IMMACULATE COLLECTION INK,INK-RED,HologramLabel,BASKETBALL CARDS,,False
141817341,FERNANDO MENDOZA,10.0,GEM MT 10,109,2025,BOWMAN UNIVERSITY CHROME,BLACK REFRACTOR,LighthouseLabel,FOOTBALL CARDS,,False
63592622,LUKA DONCIC,9.0,MINT 9,LUD,2020,PANINI NATIONAL TREASURES TREASURED SIGNATURES,TREASURED SIG-BRONZE,LighthouseLabel,BASKETBALL CARDS,,False
136081904,GIANNIS ANTETOKOUNMPO,9.0,MINT 9,AK-4,2025,TOPPS ALL KINGS,,LighthouseLabel,BASKETBALL CARDS,,False
66746356,STEPHEN CURRY,9.0,MINT 9,64,2018,PANINI NATIONAL VIP,CRACKED ICE,LighthouseLabel,MULTI-SPORT CARDS,,False
136499426,KARL-ANTHONY TOWNS,8.0,NM-MT 8,FVM-KAT,2024,PANINI FLAWLESS FLAWLESS VAULT MEMORABILIA,,LighthouseLabel,BASKETBALL CARDS,,False
100986599,VICTOR WEMBANYAMA,10.0,GEM MT 10,19,2023,TOPPS MERCURY: VICTOR WEMBANYAMA,GOLD REFRACTOR,LighthouseLabel,BASKETBALL CARDS,,False
