title,certification_number,listing_price_in_cents,current_offer_in_cents,item_status,payout_status,folder,listing_url,sale_date,sale_price_in_cents,seller_fee_percentage,seller_net_in_cents
1995 Topps Basketball Michael Jordan #277 PSA 10 GEM MINT,45150668,32500,,,Payout in progress,,https://www.fanaticscollect.com/buy-now/9c24dafb-dcab-49ac-890e-08494ca514af,2026-06-24T03:46:17Z,32500,6.00,30550
2023 Panini Prizm Silver Victor Wembanyama ROOKIE #136 PSA 9 MINT,,85000,,,Payout in progress,,https://www.fanaticscollect.com/buy-now/d2c956f0-0d8e-4d7c-ae24-4a94dc0908e2,2026-06-24T01:13:45Z,85000,6.00,79900
2023 Hoops Holo Candy Victor Wembanyama ROOKIE #108 PSA 9 MINT,99997758,20000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/4ad74a98-a5ef-40a7-8085-84de14db2f06,2026-06-23T16:37:11Z,20000,12.00,17600
2018 Panini Prizm World Cup Red Mosaic Kylian Mbappe ROOKIE #80 BGS 9.5 GEM MINT,0015138799,107000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/00c16c5d-8751-4cad-8002-a3ddb7a85163,2026-06-23T13:18:00Z,107000,6.00,100580
1997 Finest Basketball Michael Jordan #39 PSA 10 GEM MINT,62301887,39600,,,Payout complete,,https://www.fanaticscollect.com/buy-now/701fc06e-1aa9-450d-98c9-6d8bf69f7d7b,2026-06-23T01:38:22Z,39600,6.00,37224
2024 Finest UEFA CC Magenta Refractor Lamine Yamal AUTO /75 #BA-YL CGC AUTH,6145872003,171600,,,Payout complete,,https://www.fanaticscollect.com/buy-now/8d13ab18-2585-4ff3-9af0-7131c43c2e74,2026-06-18T12:50:58Z,171600,12.00,151008
2024 Topps Heritage Chrome Refractor Shohei Ohtani /575 #371 PSA 9 MINT,,20000,,,Waiting for buyer's payment,,https://www.fanaticscollect.com/buy-now/3e2152c3-1313-4f81-9d35-c6091dee1ab6,2026-06-22T22:41:52Z,20000,,
1993 Finest Ken Griffey Jr. #110 PSA 10 GEM MINT,,145000,,,Waiting for buyer's payment,,https://www.fanaticscollect.com/buy-now/a3fa70d7-b736-4d5d-bbe7-3e8aa11aaf90,2026-06-22T18:29:23Z,145000,,
1996 Topps NBA Stars Finest Refractor Michael Jordan #124 PSA 8 NM-MT,73553810,82000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/c48b9acd-83f7-426c-b8ca-bb2a3329cf75,2026-06-22T12:21:25Z,82000,6.00,77080
1988 Fleer Basketball Michael Jordan ALL-STAR #120 BGS 9 MINT,,97500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/4f5eccb0-fb9b-464d-ad70-3dcf3ced770d,2026-06-21T20:58:19Z,97500,6.00,91650
2022 Metal Universe Champions Precious Metal Gems PMG Red Michael Jordan /100 #1 PSA 8 NM-MT,84648209,147000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/d56dda1d-8186-4269-adaa-bd7e4db7e8f3,2026-06-16T20:28:07Z,147000,6.00,138180
2018 Panini Prizm Green Luka Doncic ROOKIE #280 PSA 10 GEM MINT,44967343,57500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/69882581-e247-40e9-b38a-4125517cd905,2026-06-21T14:41:22Z,57500,6.00,54050
2018 Panini Revolution Shai Gilgeous-Alexander ROOKIE AUTO #RA-SGA SGC 9.5 MINT+,2930982,120000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/b3c1ae2d-06da-4853-b864-dca088136cc3,2026-06-21T08:26:52Z,120000,6.00,112800
2006 Finest Black Refractor LeBron James /99 #22 BGS 9.5 GEM MINT,0012930146,234000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/388f10ef-989d-4ba9-845d-47147b758024,2026-06-20T02:50:49Z,234000,6.00,219960
2023 Panini Prizm Pink Ice Victor Wembanyama ROOKIE #136 PSA 10 GEM MINT,,125000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/e6342b03-a624-474e-9a12-fc1496e52efd,2026-06-18T19:45:05Z,125000,6.00,117500
2024 Topps Chrome 50/50 Orange Refractor Shohei Ohtani 25/25 #30 PSA 9 MINT,149730587,61200,,,Payout complete,,https://www.fanaticscollect.com/buy-now/bc65de85-9748-4435-b136-75b639b6a468,2026-06-19T02:16:43Z,61200,6.00,57528
2024 Bowman Chrome Draft Konnor Griffin PROSPECT AUTO #CPA-KG PSA 9 MINT,,70000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/08b0a789-5d68-47a2-a738-da6aeb7a6206,2026-06-19T22:16:13Z,70000,6.00,65800
2003 eTopps Basketball LeBron James ROOKIE #43 PSA 9 MINT,66494565,43900,,,Payout complete,,https://www.fanaticscollect.com/buy-now/1b090e5b-e3a2-4fa2-ad5a-07fb114c7750,2026-06-19T08:53:16Z,43900,6.00,41266
2025 Topps MVP Collection Red Foil Shohei Ohtani & Aaron Judge PATCH 5/5 #50R,,475000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/7b4514ee-79f3-45db-9fed-b2dbabe8161a,2026-06-18T00:33:32Z,475000,6.00,446500
2024 Topps Jose Mourinho Platinum UEFA Euro European Future Purple Lamine Yamal AUTO /25 PSA 8,147555449,330000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/f38ce9d2-263e-4e2b-816d-cf39071a87f6,2026-06-18T21:54:27Z,330000,6.00,310200
1996 Ultra All-Rookies Kobe Bryant ROOKIE #3 PSA 9 MINT,,120000,,,Waiting for buyer's payment,,https://www.fanaticscollect.com/buy-now/ea2df903-cfb8-4109-869e-2f56cca06f52,2026-06-18T15:06:52Z,120000,,
2025 Topps MLB MVP Collection Black Foil Shohei Ohtani /10 #7,,56000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/f2b29fa8-27f8-4a37-9e5e-688946b4c218,2026-06-17T11:38:10Z,56000,6.00,52640
2023 Score FIFA Blue Lasers Lamine Yamal ROOKIE /50 #87 PSA 10 GEM MINT,,310000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/57082907-7fee-4cba-8dbc-9d11a7b0cb41,2026-06-16T23:51:04Z,310000,6.00,291400
2021 Panini Flawless Ruby Josh Giddey ROOKIE PATCH AUTO /15 #HPA-JGD BGS 9 MINT,0017228783,60000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/c36ca990-98c0-4b6f-9367-0760a2a1d748,2026-06-16T22:38:59Z,60000,6.00,56400
2024 Panini One And One Prizmania Stephen Curry #3 PSA 10 GEM MINT,136144733,429500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/8cbb1846-dffe-4a88-b73a-7190d867caee,2026-06-08T02:32:37Z,429500,6.00,403730
2020 Panini Prizm Fast Break Variation Anthony Edwards ROOKIE #258 PSA 10 GEM,,42500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/5dd6953e-b28e-4002-8f94-6595a64c053f,2026-06-16T01:58:29Z,42500,6.00,39950
1996 Ultra Full Court Trap Michael Jordan #1 PSA 9 MINT,,147500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/99adbd07-728b-465a-b2b7-4b88c8198a53,2026-06-15T17:48:20Z,147500,6.00,138650
2017 Prizm Instant Impact Patrick Mahomes II ROOKIE #8 PSA 10 GEM MINT,,45800,,,Payout complete,,https://www.fanaticscollect.com/buy-now/c059bd29-1cff-4a6d-b957-0c5fd46daea4,2026-06-15T12:41:31Z,45800,6.00,43052
1992 Stadium Club Beam Team Michael Jordan #1 PSA 9 MINT,,308600,,,Payout complete,,https://www.fanaticscollect.com/buy-now/1abafcac-7f24-49c4-9f63-c3610db00ce8,2026-06-14T20:29:57Z,308600,6.00,290084
