Number,Card,Tier,Current Bid
1,Shaq NT 1/1 Lasting Legacies Patch Auto,A,1588
2,Curry 2009 Topps RC PSA 8,A,1051
3,Curry Kaleidoscopic Gold /10 PSA 10 Pop 4,A,1400
4,Wemby Bowman U Best Auto PSA 10,A,1401
5,Ant Edwards One & One Blue RPA /35 PSA Auth/10,A,1512
6,Mantle/Ruth/Gehrig Flawless Triple /15 PSA 10 Pop 2,A,1601
7,Curry NT Clutch Factor /25 PSA 9 Pop 4,A,803
8,Cooper Flagg Bowman Chrome U Auto PSA 10,B,910
9,Ant Edwards Optic Auto Choice PSA 10,B,775
10,Ant Flawless Ruby Draft Gem /15,B,860
11,Kobe/MJ SP Dual Threads BGS 8.5,B,860
12,Luka Prizm Mojo Auto /25,B,810
13,Luka Courtside Gold /10 PSA 9,B,362
14,AI Prizm Black Gold /10 PSA 10 Pop 2 Jersey #,B,680
15,SGA NT Viewpoint Emerald /5,B,600
16,SGA Immaculate Gold Patch Auto /10,B,450
17,Curry Regalia Patch Auto /15,B,450
18,KD Flawless USA /10,B,285
19,Wemby Mercury Gold Refractor /50 PSA 10,B,585
20,Caitlin Clark Bowman U Red /10 Auto PSA 9,B,610
21,Jokic One & One Blue /49,B,235
22,Yao Ming Gold Standard Mother Lode /25 Auto,B,575
23,Tatum Contenders Optic Orange /15 PSA 10/10,B,415
24,Giannis All Kings PSA 9,B,475
25,Giannis Select Tie-Dye /25 BGS 9.5/10,B,340
26,Curry One & One /25 BGS 9/10 Pop 3,B,160
27,Luka NT Treasured Sigs /25 PSA 9,C,510
28,Luka Immaculate Scorers Club /25 PSA 9,C,515
29,Ant NT Private Signings PSA 9 Pop 4,C,211
30,Ant Optic Fast Break Gold /10 PSA 9 Pop 3,C,250
31,Jeremy Lin 1/1 Gold Vinyl BGS 10/10,C,325
32,Roki Sasaki Five Star /30 (#01/30),C,155
33,LeBron eTopps RC PSA 9,C,231
34,Angel Reese Downtown PSA 10,C,265
35,Chet Flawless Excellence 1/1 Auto,C,120
36,Chet Eminence Gold /5 Auto,C,80
37,Vince Carter Exquisite /30 BGS 9/10,C,160
38,Dr. J Flawless Gold /10 BGS 8,C,152
39,Dr. J Exquisite Sigs /30 PSA 9,C,121
40,Kobe/LeBron/Oscar 3 Star Swatches BGS 8,C,198
41,AD Immaculate Red Patch Auto /15,C,102
42,Maxey Absolute 3 Swatch /199 PSA 8 Pop 2,C,228
43,Maxey Silhouette NBA Gear Gold /10 BGS 8,C,145
44,KAT Flawless Vault Mem /25 PSA 8,C,215
45,Wemby Select Red Cracked Ice PSA 10,C,161
46,Luka Spectra Neon Pink /25 PSA 9,C,145
47,Giannis Flawless Premium Ink /25 BGS 9.5/10,C,155
48,Giannis Obsidian Matrix Yellow /10 PSA 9,C,130
49,Yamamoto NPB Chrome Orange /25 PSA 9,C,160
50,Magic Johnson ATG /50 BGS 9.5,C,67
51,Curry VIP Gold Memorabilia /5 BGS 8,C,14
52,Curry VIP Cracked Ice /50 BGS 9.5,C,30
53,Curry Prizm Swatches Orange Ice BGS Auth,C,105
54,Curry Prestige True Colors BGS 9,C,42
55,Ray Allen Immaculate Ink Red /25 PSA 8,C,10
56,Yao Crusade Green & Gold /25 PSA 10,D,34
57,Yao Pristine Refractor BGS 9.5,D,16
58,Caitlin Clark VIP PSA 8,D,40
59,Paolo Banchero Recon Purple /25 PSA 8/10,D,26
60,VJ Edgecombe Panini Instant /99,D,52
61,VJ Edgecombe Prizm DP Blue Ice /75 SGC 10/10,D,75
62,Hannah Hidalgo Bowman U Purple /25 PSA 9,D,22
