user_id,created_by,timestamp,current_balance,amount_changed,operation_type,withdrawal_type,auction_id,auction_name,invoice_id,seller_statement_id,lot_id,stripe_transaction_id,description,transaction_id,invoice_number,seller_statement_number
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-23T19:59:51.168225,575.00,575.00,deposit,,202604-2813-5306-d52a60f4-8a2a-41ed-9f96-843c4d660256,,,202606-1402-3141-7383e4ae-14ff-40e8-a38b-21acfc08af86,202605-1520-5745-c00b4719-9843-4c6d-8a95-28958805362d,,Proceeds from 2025 Panini Prizm FIFA Club World Cup Kaboom! #7 Alessandro Del Piero - PSA GEM MT 10,,,06142617498
21b1a7e7-d419-460c-855e-f19048515ef7,60dc31bb-3dcb-4b00-b26a-fdd5c5589db0,2026-06-23T16:52:44.698665,0,-2956.65,withdrawal,payouts,,,,,,tr_1TlXZ1KFxf6AqynzitVqKnSw,Stripe Payout - 2026 Weekly Auction Jun 9 - Jun 18 - 6192651622,,,
21b1a7e7-d419-460c-855e-f19048515ef7,60dc31bb-3dcb-4b00-b26a-fdd5c5589db0,2026-06-23T16:52:43.401099,2956.65,-7141.50,withdrawal,payouts,,,,,,tr_1TlXZ0KFxf6AqynzCk8cjC80,Stripe Payout - 2026 May Elite Sports Auction - 6072611621,,,
21b1a7e7-d419-460c-855e-f19048515ef7,60dc31bb-3dcb-4b00-b26a-fdd5c5589db0,2026-06-23T16:52:42.435309,10098.15,-24568.60,withdrawal,payouts,,,,,,tr_1TlXYzKFxf6AqynzRNe1e0wy,Stripe Payout - 2026 Global Football Auction - 6142617498,,,
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-23T15:58:35.627025,34666.75,9775.00,deposit,,202604-2813-5306-d52a60f4-8a2a-41ed-9f96-843c4d660256,,,202606-1402-3141-7383e4ae-14ff-40e8-a38b-21acfc08af86,202605-1520-5745-b1a8196f-075c-4c19-8693-45ec773e969d,,Proceeds from 2022-23 Panini Donruss FIFA Kaboom! #2 Lionel Messi - PSA GEM MT 10,,,06142617498
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-22T20:00:12.604764,24891.75,517.50,deposit,,202602-0214-3945-049e4017-63b8-4d0d-9fe9-af74b3dd0020,,,202606-1902-3133-8e0f0846-5ee1-42a4-861f-3342fdf0351d,202603-2018-4616-98abf359-4a1a-4a51-802a-429b721dcd15,,"Proceeds from 2025 Topps Chrome Black Autograph Gold Refractor #CBA-PS Paul Skenes Signed Card (#05/50) - PSA NM-MT+ 8.5, PSA/DNA GEM MT 10",,,06192651622
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-22T19:55:39.311550,24374.25,3576.50,deposit,,202604-2813-5306-d52a60f4-8a2a-41ed-9f96-843c4d660256,,,202606-1402-3141-7383e4ae-14ff-40e8-a38b-21acfc08af86,202605-1220-5406-7dbe0289-037e-4020-8c56-a124328d03ad,,Proceeds from 2018 Panini Kaboom! #K-NJ Neymar Jr. - PSA GEM MT 10,,,06142617498
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-21T05:25:54.497806,20797.75,2242.50,deposit,,202604-2813-5306-d52a60f4-8a2a-41ed-9f96-843c4d660256,,,202606-1402-3141-7383e4ae-14ff-40e8-a38b-21acfc08af86,202603-2018-4614-4726ef0d-5cc8-4920-bbb3-bb6ec9706e80,,"Proceeds from 2023-24 Topps Chrome UCC Black Lazer Autograph #BLA-LY Lamine Yamal Signed Rookie Card - PSA MINT 9, PSA/DNA GEM MT 10",,,06142617498
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-20T14:52:08.034136,18555.25,2760.00,deposit,,202604-2813-5306-d52a60f4-8a2a-41ed-9f96-843c4d660256,,,202606-1402-3141-7383e4ae-14ff-40e8-a38b-21acfc08af86,202603-2018-4613-ebc5285c-4352-4f2c-8581-651f68abe79d,,Proceeds from 2004-05 Panini Sports Mega Cracks Barca-Campio #35 Lionel Messi Rookie Card - PSA NM-MT 8,,,06142617498
21b1a7e7-d419-460c-855e-f19048515ef7,system,2026-06-19T12:14:11.726091,15795.25,1872.20,deposit,,202602-0214-3945-049e4017-63b8-4d0d-9fe9-af74b3dd0020,,,202606-1902-3133-8e0f0846-5ee1-42a4-861f-3342fdf0351d,202603-2016-5956-ace38e00-88e5-4ae6-9f17-40d78b1b2995,,Proceeds from 2025 Topps All Kings #AK-15 Ken Griffey Jr. - PSA MINT 9,,,06192651622
