item_status,description,cert_number,issuer,grade,vault_status
Active,2024 PANINI PRIZM WNBA #22 CAITLIN CLARK BLUE VELOCITY,118000000,PSA,10,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043342,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS- PLEASE SHIP HOME! | 5x raw baseball cards- GREG MADDUX, LUIS ROBERT, ELOY JIMENEZ, TIM RAINES, CARLTON FISK these cards came with a note"" Thank You for your purchase! Please accept these extras as a gift""",VIH00000042211,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2025 Topps Daily Dribble Stephen Curry 2/10,VIH00000042148,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 2x raw 2024-25 basketball cards- Panini Immaculate Collection ZION WILLIAMSON #SPS-ZWL with autograph & Panini Prizm Black BRONNY JAMES JR. #94,VIH00000042975,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2024 Panini Draft Picks Prizm No. 17 Vj Edgecombe,VIH00000042993,VIH,-,Unvaulted
Active,"Ineligible Items, PLEASE SEND HOME | 5x Raw Assorted Higher-End Sports Cards",VIH00000042065,VIH,-,Unvaulted
Active,"INELLIGIBLE ITEMS - PLEASE SHIP HOME | 4x Baseball cards (Curtis Granderson, Jackie Robinson, Rhys Hoskins, Aaron Nola), 2x Clear cases",vih00000042289,VIH,-,Returning
Active,Ineligible Item - Send Home | Raw Card,VIH00000042056,VIH,-,Returning
Active,1979 O-PEE-CHEE #18 WAYNE GRETZKY,70667628,PSA,Authentic,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2018 Panini Flawless Football #RCD-RP Rashaad Penny (3/3),VIH00000042213,VIH,-,Unvaulted
Active,2018-19 Panini Opulence #106 Luka Doncic AU/99,0013013144,BGS,9,Vaulted
Active,"INELIGIBLE ITEM - PLEASE SEND HOME | x2 Raw Cards: 2014 Topps Tribute to the Past Ben Zobrist #TPT-BZ 09/40, 2019 Panini Immaculate Collection Pascal Siakam #IM-PSK 93/99",VIH00000043680,VIH,-,Unvaulted
Active,2002 TOPPS CHROME #146 YAO MING REFRACTOR,80412240,PSA,10,Vaulted
Active,"Ineligible Item - Please Send Home | Raw Leaf Double Booked Card, 2/5, Lionel Messi, Erling Haaland",VIH00000044269,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042842,VIH,-,Unvaulted
Active,2022 PANINI GOLD STANDARD #43 TREVOR LAWRENCE BLACK 1/1 1/1,87808007,PSA,8,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043279,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043351,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042833,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042835,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042864,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw cards from AG,VIH00000043315,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 1x pack of sports cards and 1x jumbo Patrick MaHomes II football card,VIH00000043052,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw cards from AG,VIH00000043301,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043282,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: Panini Prizm Stephen Curry,VIH00000043374,VIH,-,Unvaulted
Active,PLEASE SEND HOME - UNACCEPTED ITEM | 1x Raw Card 2025 Topps Will Riley,VIH00000044893,VIH,-,Unvaulted
Active,2013-14 Exquisite Collection #ESLJ Lebron James Exquisite Signatures,0012826531,BGS,8.5,Vaulted
