Item Status,Item,Cert Number,Grade,Issuer Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2024 PANINI PRIZM WNBA #22 CAITLIN CLARK BLUE VELOCITY,1.18E+08,PSA,10,-,2024,PANINI PRIZM WNBA,22,CAITLIN CLARK BLUE VELOCITY,,-,1306.5,-,-,-,########,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043342,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,98,-,-,-,-,-,-,-,-,-,-
Active,"INELIGIBLE ITEMS- PLEASE SHIP HOME! | 5x raw baseball cards- GREG MADDUX, LUIS ROBERT, ELOY JIMENEZ, TIM RAINES, CARLTON FISK these cards came with a note"" Thank You for your purchase! Please accept these extras as a gift""",VIH00000042211,VIH,,,,,,,,,,,,,,,,Unvaulted,11/9/2025,128,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2025 Topps Daily Dribble Stephen Curry 2/10,VIH00000042148,VIH,,,,,,,,,,,,,,,,Unvaulted,########,124,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 2x raw 2024-25 basketball cards- Panini Immaculate Collection ZION WILLIAMSON #SPS-ZWL with autograph & Panini Prizm Black BRONNY JAMES JR. #94,VIH00000042975,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2024 Panini Draft Picks Prizm No. 17 Vj Edgecombe,VIH00000042993,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,"Ineligible Items, PLEASE SEND HOME | 5x Raw Assorted Higher-End Sports Cards",VIH00000042065,VIH,,,,,,,,,,,,,,,,Unvaulted,11/9/2025,128,-,-,-,-,-,-,-,-,-,-
Active,"INELLIGIBLE ITEMS - PLEASE SHIP HOME | 4x Baseball cards (Curtis Granderson, Jackie Robinson, Rhys Hoskins, Aaron Nola), 2x Clear cases",vih00000042289,VIH,,,,,,,,,,,,,,,,Returning,########,112,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Send Home | Raw Card,VIH00000042056,VIH,,,,,,,,,,,,,,,,Returning,11/9/2025,128,-,-,-,-,-,-,-,-,-,-
Active,1979 O-PEE-CHEE #18 WAYNE GRETZKY,70667628,PSA,Authentic,10,1979,,O-PEE-CHEE,18 WAYNE GRETZKY -,,-,-,-,-,-,-,-,-,Unvaulted,11/6/2025,130,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2018 Panini Flawless Football #RCD-RP Rashaad Penny (3/3),VIH00000042213,VIH,,,,,,,,,,,,,,,,Unvaulted,########,124,-,-,-,-,-,-,-,-,-,-
Active,2018-19 Panini Opulence #106 Luka Doncic AU/99,0013013144,BGS,9,-,2018-19,Panini Opulence,106,Luka Doncic AU/99 -,,-,-,-,-,-,-,-,-,Vaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,"INELIGIBLE ITEM - PLEASE SEND HOME | x2 Raw Cards: 2014 Topps Tribute to the Past Ben Zobrist #TPT-BZ 09/40, 2019 Panini Immaculate Collection Pascal Siakam #IM-PSK 93/99",VIH00000043680,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,2002 TOPPS CHROME #146 YAO MING REFRACTOR,80412240,PSA,10,-,2002,TOPPS CHROME,146,YAO MING REFRACTOR,,-,-,1921.51,-,-,-,-,-,Vaulted,-,-,-,-,-,-,-,-,-,-,-,-
